RE,c1,c2,c3,c4,"r ·e, %"
La,7.310,-12.61,0.0043,-1.007,2.0
Ce,7.110,-6.67,-0.082,-0.974,2.2
Pr,1.510,-5.22,-1.467,-0.799,2.4
Nd,2.110,-6.10,-1.071,-0.808,9.6
Sm,2.510,-1.38,-1.120,-0.777,2.9
Eu,9.310,0.3560,-2.169,-0.587,3.6
Gd,0.0211,0.6800,-2.477,-0.415,4.3
Tb,0.0776,1.1578,-2.644,-0.437,4.7
Dy,0.6760,1.9847,-3.161,-0.190,3.6
Ho,0.1616,0.6236,-2.140,-0.478,6.1
Er,0.4632,0.8341,-2.267,-0.364,4.5
Tm,0.7971,0.5160,-1.958,-0.272,4.5
Yb,0.31371,0.8793,-2.180,-0.255,3.8
Lu,4.3700,0.9095,-2.171,-0.269,2.9
Y,0.9776,1.1030,-2.496,-0.135,3.0
